instance_id,human_label
laravel__framework-51890,No Misalignment
preactjs__preact-3345,No Misalignment
rubocop__rubocop-13375,SC
apache__druid-15402,No Misalignment
apache__lucene-13170,No Misalignment
babel__babel-14532,No Misalignment
babel__babel-15649,No Misalignment
briannesbitt__carbon-3041,No Misalignment
caddyserver__caddy-5995,No Misalignment
caddyserver__caddy-6370,No Misalignment
fastlane__fastlane-21857,No Misalignment
google__gson-1093,No Misalignment
hashicorp__terraform-34900,No Misalignment
laravel__framework-52451,No Misalignment
nushell__nushell-13831,No Misalignment
redis__redis-13115,No Misalignment
sharkdp__bat-3108,No Misalignment
tokio-rs__axum-734,No Misalignment
uutils__coreutils-6575,No Misalignment
briannesbitt__carbon-2762,No Misalignment
caddyserver__caddy-5626,No Misalignment
caddyserver__caddy-6350,No Misalignment
facebook__docusaurus-9897,No Misalignment
fastlane__fastlane-20975,No Misalignment
fluent__fluentd-3917,No Misalignment
gin-gonic__gin-3820,No Misalignment
google__gson-2158,No Misalignment
jekyll__jekyll-8167,No Misalignment
jekyll__jekyll-9141,No Misalignment
jqlang__jq-2728,No Misalignment
laravel__framework-52866,No Misalignment
php-cs-fixer__php-cs-fixer-7998,No Misalignment
phpoffice__phpspreadsheet-3659,SC
preactjs__preact-4316,No Misalignment
prometheus__prometheus-10720,No Misalignment
reactivex__rxjava-7597,No Misalignment
redis__redis-10764,No Misalignment
rubocop__rubocop-13396,No Misalignment
sharkdp__bat-2260,No Misalignment
sharkdp__bat-2835,No Misalignment
tokio-rs__tokio-6838,No Misalignment
valkey-io__valkey-790,No Misalignment
valkey-io__valkey-928,No Misalignment
apache__lucene-12196,No Misalignment
astral-sh__ruff-15356,No Misalignment
axios__axios-5316,SC
axios__axios-5892,No Misalignment
fmtlib__fmt-3729,No Misalignment
fmtlib__fmt-3901,No Misalignment
google__gson-1100,SC
hashicorp__terraform-34580,No Misalignment
jekyll__jekyll-8047,No Misalignment
laravel__framework-53914,No Misalignment
laravel__framework-53949,No Misalignment
micropython__micropython-13039,No Misalignment
micropython__micropython-13569,No Misalignment
nlohmann__json-4237,No Misalignment
phpoffice__phpspreadsheet-3903,No Misalignment
phpoffice__phpspreadsheet-4114,No Misalignment
preactjs__preact-3739,No Misalignment
projectlombok__lombok-2792,No Misalignment
projectlombok__lombok-3479,No Misalignment
prometheus__prometheus-12874,No Misalignment
redis__redis-11734,SC
sharkdp__bat-2650,No Misalignment
tokio-rs__axum-682,SC
uutils__coreutils-6690,No Misalignment
apache__lucene-11760,No Misalignment
apache__lucene-12626,No Misalignment
astral-sh__ruff-15330,No Misalignment
astral-sh__ruff-15543,No Misalignment
axios__axios-4731,No Misalignment
briannesbitt__carbon-2981,No Misalignment
briannesbitt__carbon-3098,No Misalignment
caddyserver__caddy-6345,No Misalignment
fastlane__fastlane-19765,No Misalignment
fluent__fluentd-3328,No Misalignment
fluent__fluentd-3608,No Misalignment
fluent__fluentd-4030,No Misalignment
gin-gonic__gin-3741,No Misalignment
gohugoio__hugo-12448,No Misalignment
jqlang__jq-2598,No Misalignment
jqlang__jq-2658,No Misalignment
laravel__framework-48636,No Misalignment
laravel__framework-51195,No Misalignment
laravel__framework-53696,No Misalignment
micropython__micropython-15898,No Misalignment
mrdoob__three.js-25687,No Misalignment
php-cs-fixer__php-cs-fixer-8064,No Misalignment
php-cs-fixer__php-cs-fixer-8075,No Misalignment
php-cs-fixer__php-cs-fixer-8256,No Misalignment
phpoffice__phpspreadsheet-4186,No Misalignment
preactjs__preact-3010,No Misalignment
preactjs__preact-4436,No Misalignment
projectlombok__lombok-3052,No Misalignment
projectlombok__lombok-3326,No Misalignment
projectlombok__lombok-3350,No Misalignment
projectlombok__lombok-3371,No Misalignment
prometheus__prometheus-11859,No Misalignment
prometheus__prometheus-14861,No Misalignment
redis__redis-12472,No Misalignment
rubocop__rubocop-13503,No Misalignment
rubocop__rubocop-13653,No Misalignment
rubocop__rubocop-13687,No Misalignment
tokio-rs__tokio-4898,No Misalignment
uutils__coreutils-6682,No Misalignment
vuejs__core-11870,No Misalignment
apache__druid-13704,No Misalignment
apache__lucene-12022,No Misalignment
apache__lucene-13494,No Misalignment
babel__babel-13928,No Misalignment
briannesbitt__carbon-2752,No Misalignment
briannesbitt__carbon-3103,No Misalignment
caddyserver__caddy-5404,SC
fluent__fluentd-3616,No Misalignment
fluent__fluentd-4311,No Misalignment
fmtlib__fmt-2457,No Misalignment
gin-gonic__gin-4003,No Misalignment
gohugoio__hugo-12171,No Misalignment
gohugoio__hugo-12768,No Misalignment
google__gson-2061,No Misalignment
google__gson-2134,No Misalignment
hashicorp__terraform-35611,No Misalignment
micropython__micropython-10095,No Misalignment
mrdoob__three.js-26589,No Misalignment
mrdoob__three.js-27395,No Misalignment
nushell__nushell-13605,No Misalignment
php-cs-fixer__php-cs-fixer-8367,No Misalignment
phpoffice__phpspreadsheet-3463,No Misalignment
phpoffice__phpspreadsheet-4214,SC
preactjs__preact-2757,No Misalignment
projectlombok__lombok-3422,No Misalignment
projectlombok__lombok-3594,No Misalignment
projectlombok__lombok-3674,No Misalignment
rubocop__rubocop-13668,No Misalignment
rubocop__rubocop-13680,No Misalignment
tokio-rs__axum-1934,No Misalignment
tokio-rs__axum-2096,No Misalignment
tokio-rs__tokio-4867,No Misalignment
tokio-rs__tokio-6603,No Misalignment
tokio-rs__tokio-6724,No Misalignment
uutils__coreutils-6731,No Misalignment
apache__druid-14136,SC
apache__lucene-13704,No Misalignment
astral-sh__ruff-15626,No Misalignment
briannesbitt__carbon-2665,No Misalignment
caddyserver__caddy-4774,No Misalignment
caddyserver__caddy-4943,No Misalignment
caddyserver__caddy-5870,SC
caddyserver__caddy-6411,No Misalignment
fastlane__fastlane-19304,No Misalignment
fastlane__fastlane-20642,No Misalignment
fluent__fluentd-3631,No Misalignment
fluent__fluentd-4598,No Misalignment
gin-gonic__gin-1805,No Misalignment
gin-gonic__gin-2121,No Misalignment
gohugoio__hugo-12579,No Misalignment
google__gson-1014,No Misalignment
hashicorp__terraform-34814,No Misalignment
jordansissel__fpm-1850,No Misalignment
php-cs-fixer__php-cs-fixer-7523,No Misalignment
php-cs-fixer__php-cs-fixer-7875,SC
preactjs__preact-3454,No Misalignment
preactjs__preact-3689,No Misalignment
projectlombok__lombok-3009,No Misalignment
projectlombok__lombok-3312,No Misalignment
projectlombok__lombok-3602,No Misalignment
projectlombok__lombok-3697,No Misalignment
prometheus__prometheus-13845,No Misalignment
rubocop__rubocop-13393,No Misalignment
rubocop__rubocop-13479,No Misalignment
rubocop__rubocop-13705,No Misalignment
sharkdp__bat-2393,No Misalignment
tokio-rs__axum-1730,No Misalignment
tokio-rs__tokio-6551,No Misalignment
tokio-rs__tokio-7139,No Misalignment
vuejs__core-11915,No Misalignment
astral-sh__ruff-15443,No Misalignment
briannesbitt__carbon-2813,No Misalignment
burntsushi__ripgrep-2576,No Misalignment
facebook__docusaurus-10309,No Misalignment
gohugoio__hugo-12562,No Misalignment
jqlang__jq-2919,No Misalignment
php-cs-fixer__php-cs-fixer-8331,No Misalignment
